Pelvis Tilt mean;Pelvis Tilt SD;Pelvis Obliquity mean;pelvis Obliquity SD;Pelvis Rotation Mean;Pelvis Rotation SD;Hip Sagittal mean;Hip Sagittal SD;Hip Frontal mean;Hip Frontal SD;Hip Longitudinal mean;Hip Longitudinal SD;Knee Sagittal mean;Knee Sagittal SD;Knee Frontal mean;Knee Frontal SD;Knee Longitudinal mean;Knee Longitudinal SD;Ankle Sagittal mean;Ankle Sagittal SD;Ankle Frontal mean;Ankle Frontal SD;Ankle Longitudinal mean;Ankle Longitudinal SD
14,877;5,285;-4,271;2,518;-3,059;3,792;0,029;6,942;-3,696;3,297;15,168;11,194;30,702;8,341;5,952;7,32;11,843;9,368;-7,848;7,672;-25,444;13,713;0,952;7,412
14,83789605;5,272999881;-4,426566201;2,542600398;-3,046013223;3,772124055;1,58328015;7,015446915;-4,103292915;3,261231929;15,70809481;11,34617764;33,62124383;8,404472734;6,962240532;7,759646714;13,08199434;9,375252507;-9,350159653;7,536357396;-26,3813943;13,56939145;1,120100401;7,440699399
14,819;5,261;-4,526;2,564;-3,053;3,751;3,274;7,069;-4,408;3,232;16,158;11,487;36,527;8,403;7,889;8,185;14,36;9,384;-10,443;7,45;-27,36;13,396;1,133;7,492
14,81642494;5,25080912;-4,568335404;2,583557063;-3,070845276;3,72413984;5,070017244;7,097433833;-4,606836441;3,215919287;16,51419574;11,60272977;39,35036454;8,333191921;8,711498964;8,583645684;15,59507528;9,415281096;-11,08978833;7,427166228;-28,35621913;13,20092208;0,982831133;7,562068469
14,828;5,244;-4,554;2,6;-3,088;3,688;6,938;7,099;-4,7;3,214;16,776;11,689;42,034;8,202;9,422;8,94;16,724;9,453;-11,289;7,451;-29,348;12,989;0,681;7,626
14,85190419;5,241388637;-4,484092182;2,612171349;-3,093230671;3,640941583;8,845275874;7,074067751;-4,691361323;3,225715924;16,94899725;11,74365329;44,52217303;8,02288458;10,02163861;9,239020548;17,69170453;9,47799811;-11,05993703;7,492727691;-30,31410418;12,76542025;0,244575068;7,655401726
14,886;5,241;-4,361;2,622;-3,079;3,588;10,764;7,028;-4,596;3,25;17,061;11,764;46,754;7,825;10,534;9,471;18,457;9,496;-10,47;7,507;-31,235;12,54;-0,306;7,629
14,9279583;5,24076133;-4,188045868;2,631507543;-3,039357038;3,535218827;12,66825426;6,967420162;-4,431343267;3,284967019;17,14656528;11,74890708;48,67181836;7,640519757;10,98982159;9,630272122;18,99110661;9,516976464;-9,597463533;7,453548007;-32,09423916;12,32077192;-0,946631406;7,531199628
14,975;5,241;-3,971;2,64;-2,971;3,486;14,535;6,899;-4,213;3,326;17,245;11,704;50,236;7,498;11,426;9,722;19,301;9,543;-8,516;7,329;-32,886;12,104;-1,642;7,362
15,02476262;5,242566041;-3,715724348;2,646298481;-2,872216175;3,44318311;16,34383208;6,8291266;-3,955515607;3,368541;17,39299164;11,63596838;51,41542852;7,423036393;11,87632503;9,753640964;19,40261903;9,574721035;-7,297708835;7,139830279;-33,60856418;11,88436707;-2,355424444;7,129799761
15,077;5,246;-3,426;2,65;-2,745;3,41;18,082;6,763;-3,671;3,411;17,612;11,549;52,195;7,433;12,356;9,731;19,312;9,615;-6,013;6,895;-34,266;11,662;-3,056;6,861
15,13211623;5,250724504;-3,106806742;2,650423533;-2,593653261;3,388923734;19,7411674;6,704198438;-3,370219303;3,452743982;17,91296817;11,4474694;52,56859255;7,537084673;12,8685033;9,660664021;19,05004227;9,663889397;-4,724451128;6,606005876;-34,86500413;11,4390098;-3,716920817;6,584726328
15,191;5,252;-2,77;2,645;-2,428;3,379;21,323;6,651;-3,061;3,494;18,28;11,339;52,55;7,72;13,389;9,554;18,657;9,708;-3,465;6,292;-35,417;11,22;-4,322;6,323
15,25414747;5,245660942;-2,427173684;2,631757387;-2,256420782;3,378621954;22,82974831;6,601204648;-2,749857181;3,534608074;18,69001068;11,22952901;52,15770127;7,959374916;13,88491178;9,421327953;18,17358689;9,737471377;-2,259736652;5,971271217;-35,93454432;11,01084372;-4,860267286;6,095294927
15,32;5,234;-2,082;2,613;-2,076;3,387;24,256;6,556;-2,441;3,572;19,118;11,115;51,409;8,229;14,321;9,264;17,623;9,77;-1,132;5,651;-36,43;10,82;-5,331;5,918
15,38704388;5,220381728;-1,737498521;2,591171918;-1,883163609;3,40383845;25,59558934;6,516232969;-2,137601974;3,603448723;19,54073912;10,98878956;50,32147737;8,502665663;14,6640996;9,081399166;17,01848517;9,824350094;-0,100227264;5,335534258;-36,91069361;10,65724032;-5,736885038;5,802468963
15,456;5,206;-1,402;2,565;-1,683;3,43;26,847;6,478;-1,841;3,628;19,944;10,844;48,915;8,758;14,892;8,874;16,351;9,896;0,835;5,029;-37,364;10,535;-6,084;5,743
15,52780199;5,191437144;-1,08383223;2,533179941;-1,48067478;3,466399246;28,00976931;6,437988476;-1,552859923;3,645472033;20,31090783;10,67718775;47,21151425;8,97508743;14,98193984;8,644325384;15,60972242;9,974253248;1,674020707;4,736341753;-37,77143124;10,463195;-6,379317563;5,729829222
15,602;5,177;-0,786;2,498;-1,273;3,513;29,083;6,4;-1,278;3,657;20,605;10,499;45,239;9,14;14,898;8,402;14,799;10,047;2,403;4,466;-38,111;10,439;-6,63;5,754
15,67837316;5,162994694;-0,511422558;2,462108317;-1,056012272;3,568939565;30,06670842;6,368813126;-1,020583335;3,663663145;20,78312956;10,32570944;43,02871563;9,242734616;14,60339106;8,158174299;13,92562516;10,10338691;3,006894436;4,225973731;-38,35420644;10,46247967;-6,843969712;5,807464149
15,759;5,15;-0,268;2,426;-0,831;3,631;30,965;6,346;-0,779;3,665;20,795;10,182;40,619;9,283;14,071;7,923;12,991;10,139;3,48;4,019;-38,45;10,558;-7,032;5,885
15,84558036;5,13920908;-0,060977537;2,39001179;-0,599526133;3,696092492;31,78252201;6,33250902;-0,551806736;3,660625388;20,58894895;10,08972448;38,04949823;9,261474107;13,28012094;7,70285242;12,00015195;10,1541991;3,820401551;3,846013322;-38,344118;10,74888632;-7,204428591;5,981564182
15,936;5,134;0,12;2,356;-0,359;3,764;32,522;6,33;-0,344;3,652;20,115;10,051;35,358;9,173;12,226;7,49;10,978;10,162;4,032;3,706;-37,992;11,03;-7,367;6,09
16,02730539;5,136668987;0,285332705;2,325969524;-0,107633196;3,835190466;33,18582854;6,339025796;-0,15918972;3,641085304;19,32482466;10,06076765;32,58004145;9,014118955;10,91562519;7,270041021;9,949392047;10,1708167;4,121249361;3,59622298;-37,34819655;11,39310004;-7,526565925;6,203154121
16,117;5,143;0,43;2,301;0,149;3,91;33,777;6,355;0,011;3,63;18,175;10,105;29,744;8,794;9,387;7,016;8,919;10,158;4,099;3,509;-36,354;11,846;-7,699;6,316
16,20257309;5,148489974;0,547521715;2,282110113;0,407183918;3,988145645;34,29941385;6,371637797;0,175190617;3,620158396;16,6287524;10,16345491;26,87471097;8,524050071;7,691378292;6,700858494;7,891529865;10,1004091;3,978351004;3,436219758;-34,9557208;12,38883852;-7,898682711;6,423194332
16,281;5,154;0,641;2,271;0,678;4,067;34,76;6,381;0,331;3,61;14,671;10,2;23,99;8,212;5,902;6,31;6,892;10,004;3,777;3,373;-33,133;12,975;-8,125;6,516
